specialty,claim_count,opioid_count,opioid_amount
Obstetrics/Gynecology,20243332,530207,0.026191686
Nuclear Medicine,474199,12069,0.02545134
Radiology,27391,697,0.025446314
Homeopath,6666,167,0.025052505
Physical Therapy Assistant,4553,110,0.024159895
Exclusive Provider Organization,4049,97,0.023956532
Massage Therapist,4082,96,0.023517883
Nutritionist,1802,42,0.023307436
Obstetrics & Gynecology,5959436,138811,0.02329264
"Medical Genetics, Ph.D. Medical Genetics",205271,4776,0.023266803
Specialist/Technologist,4599,106,0.023048489
Electrodiagnostic Medicine,1478,34,0.02300406
Anesthesiologist Assistants,3535,78,0.022065064
Contractor,30215,660,0.021843455
Occupational Therapy Assistant,3439,72,0.020936319
Clinical Neuropsychologist,18280,380,0.020787746
Rehabilitation Counselor,628,13,0.020700637
Licensed Clinical Social Worker,74721,1544,0.020663535
Undefined Physician type,334616,6848,0.02046525
Certified Clinical Nurse Specialist,10239164,207504,0.020265717
Critical Care (Intensivists),3870916,76604,0.019789631
Audiologist (billing independently),4167,82,0.019678426
Neuropsychiatry,2954401,57501,0.019462829
Health Educator,2227,43,0.019308487
Registered Dietician/Nutrition Professional,11841,219,0.01849506
Nephrology,65112545,1181112,0.018139546
Home Health Aide,2276,41,0.01801406
Certified Nurse Midwife,582565,10282,0.017649533
Driver,140168,2417,0.017243593
Psychologist,31891,536,0.01680725
Marriage & Family Therapist,17088,270,0.015800562
Dermatology,30369702,428161,0.014098294
Pulmonary Disease,53074112,719381,0.013554273
Sleep Medicine,424971,5641,0.013273847
Hospital (Dmercs Only),84255,1116,0.013245505
Counselor,276996,3602,0.013003798
Hearing Instrument Specialist,880,11,0.0125
Pediatrics,3426,40,0.011675423
Behavioral Analyst,10829,125,0.011543079
Gastroenterology,50072545,495902,0.009903671
Technician,1249,12,0.009607686
Radiologic Technologist,1393,13,0.009332376
Nurse's Aide,1220,11,0.009016393
Allergy/Immunology,7368676,62933,0.008540612
Allergy/ Immunology,2663127,22737,0.008537708
Midwife,37738,305,0.008082039
"Specialist/Technologist, Other",4686,35,0.007469057
Social Worker,13110,93,0.007093822
Medical Genetics,6063,42,0.006927264
Cardiac Electrophysiology,6840069,47207,0.006901539
Substance Abuse Rehabilitation Facility,2304,15,0.006510417
Psychiatry & Neurology,19585875,125950,0.006430655
Clinical Cardiatric Electrophysiology,3214768,19764,0.006147878
Psychologist (billing independently),305228,1593,0.005219049
Pharmacy,17165,87,0.005068453
Public Health Welfare Agency,14589,73,0.00500377
Cardiology,209899267,928501,0.004423555
Community Health Worker,185103,778,0.004203065
Respite Care,32397,131,0.004043584
Endocrinology,57040501,228834,0.004011781
Clinical Psychologist,174774,639,0.00365615
Ophthalmology,101886702,371678,0.003647954
Psychiatry,176759757,627586,0.003550503
"Emergency Medical Technician, Paramedic",3229,11,0.003406627
Cardiovascular Disease (Cardiology),66373316,225773,0.003401563
Psychoanalyst,19942,63,0.003159162
Mass Immunization Roster Biller,4322,12,0.002776492
Community/Behavioral Health,6232,12,0.001925546
Geriatric Psychiatry,1008967,1208,0.001197264
Interventional Cardiology,14849880,13600,0.000915832
Optometry,20781214,8594,0.000413547
"Psychologist, Clinical",71310,11,0.000154256
Public Health or Welfare Agency,33,0,0
Radiology Practitioner Assistant,220,0,0
Supplier of Oxygen and/or Oxygen Related Equip.,24,0,0
Veterinarian,416,0,0
"Residential Treatment Facility, Physical Disabilities",209,0,0
Radiation Therapy,170,0,0
"Residential Treatment Facility, Mental Retardation and/or Developmental Dis",252,0,0
"Residential Treatment Facility, Emotionally Disturbed Children",340,0,0
"Sleep Specialist, PhD",134,0,0
Skilled Nursing Facility,160,0,0
"Respiratory Therapist, Certified",640,0,0
"Rehabilitation, Substance Use Disorder Unit",139,0,0
"Technician, Cardiology",209,0,0
"Spec/Tech, Health Info",30,0,0
Registered Dietitian or Nutrition Professional,153,0,0
"Technician, Health Information",47,0,0
"Technician, Pathology",228,0,0
Pulmonary Function Technologist,14,0,0
Recreation Therapist,119,0,0
"Medical Supply Company, Other",202,0,0
Prosthetist,3630,0,0
"Community Based Residential Treatment, Mental Retardation and/or Developmen",49,0,0
Homemaker,78,0,0
Home Health,1019,0,0
Foster Care Agency,40,0,0
"Eyewear Supplier (Equipment, not the service)",33,0,0
Early Intervention Provider Agency,45,0,0
Doula,162,0,0
"Dietetic Technician, Registered",23,0,0
Dietary Manager,178,0,0
Dental Therapist,55,0,0
Dental Laboratory Technician,144,0,0
Dental Laboratory,11,0,0
Day Training/Habilitation Specialist,820,0,0
Custodial Care Facility,285,0,0
"Community Based Residential Treatment Facility, Mental Illness",695,0,0
Prosthetic/Orthotic Supplier,95,0,0
Clinical Medical Laboratory,1574,0,0
Clinical Laboratory,244,0,0
Clinical Exercise Physiologist,14,0,0
Centralized Flu,68,0,0
Case Management,4399,0,0
Audiologist-Hearing Aid Fitter,95,0,0
Audiologist,108,0,0
Anesthesiology Assistant,375,0,0
Anaplastologist,60,0,0
Alzheimer Center (Dementia Center),40,0,0
All Other Suppliers,210,0,0
Advanced Practice Dental Therapist,165,0,0
Adult Companion,1679,0,0
"Hospice, Inpatient",34,0,0
In Home Supportive Care,323,0,0
Independent Diagnostic Testing Facility,109,0,0
Indian Health Service/Tribal/Urban Indian Health (I/T/U) Pharmacy,286,0,0
Private Vehicle,28,0,0
Portable X-ray,55,0,0
Pharmacy Technician,1926,0,0
Perfusionist,109,0,0
Peer Specialist,19,0,0
PACE Provider Organization,12,0,0
Orthotist,59,0,0
Oral Medicinist,260,0,0
Occupational Therapist in Private Practice,215,0,0
Nursing Home Administrator,183,0,0
Non-emergency Medical Transport (VAN),319,0,0
Non-Pharmacy Dispensing Site,961,0,0
Naprapath,2060,0,0
Music Therapist,27,0,0
"Midwife, Lay",280,0,0
Medical Supply With Resp. Therapist (Dmercs Only),11,0,0
Mechanotherapist,938,0,0
Mass Immunizer Roster Biller,144,0,0
Mammographic Screening Center,20,0,0
Lodging,160,0,0
Local Education Agency (LEA),327,0,0
Licensed Vocational Nurse,4543,0,0
Licensed Psychiatric Technician,173,0,0
"Lactation Consultant, Non-RN",152,0,0
Kinesiotherapist,302,0,0
Interpreter,134,0,0
Individual Certified Prosthetist-Orthotist,33,0,0
Voluntary Health or Charitable Agencies,462,0,0
